,post_id,post_text,time,comments,shares,reaction_count,media,day,hour
24,664040069265201,"Tùy khả năng, mỗi lao động có thể kiếm từ vài trăm nghìn đến cả triệu đồng.",2023-11-20 18:00:54,209,216,7200,2,20,18
25,664089465926928,"Đài Khí tượng - Thủy văn Lào Cai cho biết, đỉnh Fansipan xuất hiện sương muối đóng băng, bao phủ một lớp trắng trên mặt đất.

Đêm về sáng 20/11, không khí lạnh ảnh hưởng đến dãy núi Hoàng Liên Sơn biến tính; ban đêm bầu trời ít mây khiến bức xạ nhiệt mặt đất lớn, làm nhiệt độ khu vực đỉnh Fansipan giảm sâu xuống dưới 0 độ C, đã hình thành sương muối đóng băng tại đây.

Tại khu vực đỉnh Fansipan, sương muối xuất hiện với cường độ nhẹ, trải đều một lớp mỏng trên đường đi, bậc đá lên xuống, sàn gỗ để du khách ngắm phong cảnh, sương muối bám vào cành cây, ngọn cỏ mọc sát mặt đất, tạo nên khung cảnh lãng mạn, kỳ thú.

Đây là đợt sương muối đầu tiên xuất hiện núi Fansipan trong mùa đông năm nay. Đài Khí tượng-Thủy văn Lào Cai dự báo đêm về sáng 21/11, nhiệt độ trên đỉnh Phan Xi Păng vẫn ở mức thấp, khả năng sương muối tiếp tục xảy ra.",2023-11-20 17:00:01,18,13,1200,1,20,17
26,664040052598536,Mặc dù đã về hưu nhưng có những người thầy vẫn đang miệt mài xây dựng trung tâm học tập cộng đồng dạy miễn phí cho trẻ em.,2023-11-20 16:00:51,22,109,2100,2,20,16
27,664040049265203,"Thịt làm từ thức vật đang ngày càng giống thịt động vật và thơm ngon hơn.

Khó cái là giá cao. 🥲",2023-11-20 15:00:52,24,37,1000,2,20,15
28,664040059265202,"Có một nghề bụi phấn bám đầy tay
Người ta bảo là nghề cao quý nhất
Có một nghề không trồng cây trên đất
Nhưng nở cho đời những đóa hoa thơm…",2023-11-20 13:44:28,22,86,1100,2,20,13
29,663709122631629,"Nghề gì gọi …Lady, nói không với delay, bán hàng dùng daily, nhưng dùng xong vẫn muốn đầy ly?",2023-11-20 12:00:44,59,289,2200,2,20,12
30,663949925940882,"Theo phóng viên TTXVN tại Italy, người cao tuổi nhất nước này, cụ bà Domenica Ercolani, đã qua đời ở thành phố Pesaro, tỉnh Pesaro-Urbino thuộc vùng Marche vào ngày 17/11, hưởng thọ 113 tuổi. Người chăm sóc cụ bà Ercolani đến phút cuối cùng là cô con gái 87 tuổi Alessandra Rupalti.

Cụ Ercolani được chú ý vì chưa bao giờ dùng bất kỳ loại thuốc nào và chưa bao giờ mắc các bệnh bị mất khả năng lao động. Cụ là con út trong gia đình có 5 người con và bản thân cụ có hai người con. Cuộc sống của cụ xoay quanh ngôi nhà, thức dậy lúc 7 giờ, ăn bữa sáng thịnh soạn và sau đó nghe đài suốt thời gian còn lại trong ngày.

Cụ chưa bao giờ từ chối một ly rượu vang, kết hợp với những bữa ăn nhẹ. Cánh cửa nhà cụ luôn mở rộng để chào đón mọi người đến thăm và cụ thường nói ""bạn sống tốt và thọ hơn nếu bạn là người tốt"".",2023-11-20 11:00:05,16,18,1000,1,20,11
31,663973389271869,Món quà tuyệt vời nhất với các thầy cô đó là được thấy học sinh hạnh phúc,2023-11-20 10:35:53,50,36,2300,1,20,10
32,663944265941448,"Dự thảo Luật Thủ đô (sửa đổi) đề xuất cho Hà Nội bổ sung 2 thành phố thuộc Thủ đô, đó là:
- Thành phố thứ nhất là Bắc sông Hồng gồm các huyện Đông Anh, Mê Linh, Sóc Sơn, lấy hạt nhân là sân bay Nội Bài, được định hướng trở thành thành phố logistics, dịch vụ.
- Thành phố thứ hai là thành phố về giáo dục, đào tạo, khoa học ở phía Tây, Hòa Lạc, Xuân Mai với trung tâm là Khu Công nghệ cao Hòa Lạc.

Sự ra đời của 2 thành phố này được kỳ vọng sẽ tạo ra những cực tăng trưởng mới, giúp kéo giãn dân cư khu vực nội đô.",2023-11-20 10:10:01,100,48,5100,1,20,10
33,663939022608639,"Sau khi một người hâm mộ qua đời vì sốc nhiệt và kiệt sức tại concert ở Brazil, Taylor Swift đã quyết định hoãn buổi hoà nhạc thứ hai của mình tại đây.

Trên trang cá nhân của mình, nữ ca sĩ thông báo huỷ bỏ buổi hoà nhạc thứ hai trong số ba buổi diễn thuộc khuôn khổ Eras Tour của cô. Nguyên nhân được đưa ra là do ""nhiệt độ quá khắc nghiệt"".

Taylor chia sẻ trong bức thư, ""Sự an toàn và sức khoẻ của những người hâm mộ, những đồng nghiệp và những người sản xuất chương trình phải luôn được đặt lên hàng đầu"".

Trong khi đó, đơn vị tổ chức sự kiện là Time for Fun tiết lộ concert sẽ được dời lịch, tất cả vé xem buổi biểu diễn vẫn có hiệu lực.

Theo các báo quốc tế, Rio De Janeiro, thời điểm diễn ra…",2023-11-20 09:45:02,5,5,1000,1,20,9
